Município,Valor
JANDIRA,7.914147329766691e-05
JACUTINGA,0.0028200789622109417
SAO LOURENCO DO SUL,0.00022967386311437759
GASPAR,0.0002825138078623593
SAO JOAO DEL REI,0.3333333333333333
GUAPORE,0.00038508934072704865
PARINTINS,6.0678033684976985e-05
CAPIVARI,0.00019510810762872702
TRIUNFO,0.001267962806424345
SURUBIM,7.616494280012795e-05
MACHADO,0.00018862141324593875
PATROCINIO,0.00015309079377576573
GRAVATA,0.0001180651483488589
TOME-ACU,0.00014055911291582072
TANABI,0.0002681889582774606
UNIAO DA VITORIA,0.00020720736276829037
NOVO HORIZONTE,0.004575707154742097
SANTA RITA DO SAPUCAI,0.0002285557561767193
CRUZ DAS ALMAS,0.0001100784702237738
ORIXIMINA,0.00010808473843493298
SAO SEBASTIAO DO PARAISO,0.0002099517111064455
MONGAGUA,8.673327782403553e-05
BASTOS,0.00033408103851477114
CERQUILHO,0.00022087466366812577
SANTA ISABEL,0.0020969855832241153
PRESIDENTE DUTRA,0.0005277044854881266
ARMACAO DOS BUZIOS,0.00014502421904458043
IGARAPAVA,0.00029398314496635527
LARANJAL PAULISTA,0.0003474031613687685
CRAVINHOS,0.0002248517383850024
PROPRIA,0.00016839552741479186
CURITIBANOS,0.00022560348933396837
TURVO,0.0006928406466512702
ILHABELA,0.00014048495406142003
MONTE ALTO,0.0001772630583786339
CONCEICAO DO ARAGUAIA,0.0001250234418953554
VARGEM GRANDE PAULISTA,9.351387745941498e-05
BOM DESPACHO,0.00021556792349298424
PORTO FERREIRA,0.0002477700693756194
ARACUAI,0.00016343429941163652
CABREUVA,0.00021812845783180312
MAIRINQUE,0.00012647288210619506
PARACAMBI,0.00013287018582844562
FORMIGA,0.00017693373831500104
ARACATI,9.336445481827276e-05
BAYEUX,6.172648992315052e-05
UNAI,0.00014129282938890852
BARIRI,0.00016873839923505258
XINGUARA,0.0001552588386638868
TRES PONTAS,0.00014049877063575695
CACHOEIRAS DE MACACU,0.0001349004266225992
ITAPETINGA,0.00013021681099029884
VARGEM GRANDE DO SUL,0.00020876826722338206
PEDERNEIRAS,0.00012735879094054466
ESTANCIA VELHA,0.00015787811809283233
ESCADA,7.215840212434335e-05
SANTOS DUMONT,0.0001507938217617027
MARIANA,0.00019579689335595874
MORRO AGUDO,0.0003004085556356645
SANTO ANTONIO DE PADUA,0.00016434239564257878
BANDEIRANTES,0.0013762730525736307
ENCANTADO,0.00034965034965034965
CASTRO,0.00020888746535949532
AGUAS DE LINDOIA,0.00031901318587834965
PARACATU,0.00013850120389508
MONTE MOR,0.00011521875102873885
SAO SEBASTIAO DO CAI,0.00023113371085172773
CURVELO,0.00014885382554331647
ITARARE,0.0001777180996011216
EXTREMA,0.00037888013856187926
CONGONHAS,0.00021696288126706322
NOVA SERRANA,0.00012319939347990903
IBITINGA,0.0001485148514851485
LAGOA SANTA,0.006169031462060457
XANXERE,0.0002323690019751365
CAPELA,0.0003533777018670122
DOM ELISEU,0.0001322991946286527
PINHEIRO,7.16187020303902e-05
MONTE APRAZIVEL,0.00027588381350254206
ARAGUARI,0.00014428177381710163
PROMISSAO,0.00022043695503086119
PACAJUS,8.198065256599443e-05
LOUVEIRA,0.00024003360470465864
PORTO NACIONAL,0.00015004876584890088
LAGARTO,7.603045019530323e-05
BOM JESUS DA LAPA,0.00011484022853205478
ADAMANTINA,0.00025632992509469965
TELEMACO BORBA,0.0001378584319229998
CAMPO BELO,0.00016609456317129886
VERANOPOLIS,0.00033920024120906043
VESPASIANO,9.247485839787308e-05
SAO GOTARDO,0.0001956290872505729
SENHOR DO BONFIM,0.00011331587429492345
CRATEUS,7.983075879136232e-05
ITAMBE,0.0014732362088721558
OSVALDO CRUZ,0.00024242424242424242
SERRINHA,0.0016186468112657818
SANTA HELENA,0.007272727272727273
PLANALTINA,5.5163283318623126e-05
BARRA DO PIRAI,8.931761343336905e-05
SANTO AMARO,0.00011641249937636162
BRUMADINHO,0.00022131510352628732
SAO BENTO,0.0001455858374097368
AGUAI,0.00021829294913774285
SAO JOSE DE RIBAMAR,2.7928592175525617e-05
MANACAPURU,9.136870317353963e-05
CARATINGA,8.639028973143419e-05
APARECIDA,0.0010693916349809886
JOSE BONIFACIO,0.00018733608092918696
EUSEBIO,0.00011042199606161548
TAILANDIA,6.423845313804844e-05
JACOBINA,0.00012401562596887208
OURICURI,8.575226171590276e-05
TIMON,4.112276908977688e-05
ITABIRITO,0.00019067231056705945
DOIS VIZINHOS,0.00036551488863979727
LAPA,0.0002272257797975625
BARBALHA,9.799438165545176e-05
OURO BRANCO,0.002908788697278205
SAO LOURENCO DA MATA,6.136098668466589e-05
MEDIANEIRA,0.0003005968995576931
JARU,0.00027121270825261525
BERTIOGA,0.00012360366484866277
PORTAO,0.0001597401560128857
PIEDADE,0.00018004393071909547
PEDREIRA,0.00016507438664548212
CATU,0.00010915044569765326
GUAXUPE,0.00023042359537616653
PANAMBI,0.00031725888324873094
FRUTAL,0.00018329667399853364
IRATI,0.008381351492928235
LIMOEIRO DO NORTE,0.0001335782267490399
ZE DOCA,7.698822080221726e-05
ALTONIA,0.0003156565656565657
POMBAL,0.00015242972989451862
SAO GONCALO DO SAPUCAI,0.00015648840029732796
URUCUI,0.00023089355806972986
EUCLIDES DA CUNHA,9.859016070196194e-05
JAIBA,0.00017771910226464912
BOM CONSELHO,0.00012303401890622758
SAO MARCOS,0.00036937852063902485
TREMEMBE,0.00010479104665297397
JAGUARAO,0.00018867924528301886
SANTO ANTONIO DO SUDOESTE,0.0003454913380385963
CONCEICAO DO COITE,0.00011937982182561593
LOANDA,0.0003011789002667585
TUCUMA,0.00017440701614510664
JARDIM,0.000228675966155957
PIMENTA BUENO,0.0001897996258235948
CURRAIS NOVOS,0.00013361541031065583
